event_id,timestamp,event_type,signal_id,position_id,symbol,side,price,quantity,risk_usd,leverage,signal_strength,reason,market_cap_rank,market_cap_usd,volume_24h_usd,volume_mcap_pct,bid,ask,spread_bps,depth_5bps_usd,depth_10bps_usd,depth_25bps_usd,depth_50bps_usd,volatility_5m_pct,volatility_1h_pct,volatility_24h_pct,listing_age_days,asset_category,asset_category_source,mexc_api_eligible,innovation_zone,price_jump_flag,thin_orderbook_flag,spread_expansion_flag,rapid_reversal_flag,low_trade_count_flag,abnormal_volume_flag,estimated_slippage_bps,estimated_fee_pct_per_side,estimated_total_execution_cost_pct,metadata_json
candidate_9a2ce82ac985456f,2026-08-14T11:16:33.074403+00:00,candidate,,,BTC/USDT:USDT,,62824.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 4399917590.97226, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_76c7e2410c664321,2026-08-14T11:16:33.926976+00:00,candidate,,,SKHYNIXSTOCK/USDT:USDT,,1197.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 3566407959.68608, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_5a53f7a6342d4d3c,2026-08-14T11:16:34.405758+00:00,candidate,,,ETH/USDT:USDT,,1876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 1988404321.9261, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_63840e1729f94894,2026-08-14T11:16:35.193740+00:00,candidate,,,XAU/USDT:USDT,,4356.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 1240938872.62866, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_bfa2b0d5cb934f34,2026-08-14T11:16:35.983471+00:00,candidate,,,SOL/USDT:USDT,,75.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 1112096701.316, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_e43f41549f184778,2026-08-14T11:16:36.993250+00:00,candidate,,,SOXL/USDT:USDT,,147.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 468662791.4532, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_92fd7ca3483f43b2,2026-08-14T11:16:38.136965+00:00,candidate,,,SKHYSTOCK/USDT:USDT,,169.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 431614863.0492, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_67f22e3268c34df9,2026-08-14T11:16:38.678601+00:00,candidate,,,SNDKSTOCK/USDT:USDT,,1636.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 350847900.63069, 'listing_age_days': 9999, 'passed_universe_filter': True}}"
candidate_b5a3d9c86ec74a3b,2026-08-14T11:16:39.228303+00:00,candidate,,,SILVER/USDT:USDT,,64.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 323578304.2327, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_a6ccc827acce431f,2026-08-14T11:16:39.851987+00:00,candidate,,,XAUT/USDT:USDT,,4336.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 302987045.5289, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
candidate_7910027ab1954137,2026-08-14T11:16:40.412990+00:00,candidate,,,HYPE/USDT:USDT,,56.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'metadata': {'quote_volume_24h': 219564813.7566, 'listing_age_days': 9999, 'passed_universe_filter': False}}"
