metric,percentile,value
mfe,0th,-0.0001954014232966
mfe,10th,0.00122198679603132
mfe,25th,0.0041149958882094
mfe,50th,0.008873719250604
mfe,75th,0.0141390531935861
mfe,90th,0.03421044948470721
mfe,100th,0.0810904487190307
mae,0th,-0.0763744563404328
mae,10th,-0.02354431234643086
mae,25th,-0.0152085582668104
mae,50th,-0.0072019031698585
mae,75th,-0.0041189807936761
mae,90th,-0.00210208255197158
mae,100th,-0.0009730282670888
net_return,0th,-0.0358714782293358
net_return,10th,-0.0166670014460024
net_return,25th,-0.007197700112481
net_return,50th,-1.4104471390825434e-06
net_return,75th,0.0056287700569088
net_return,90th,0.020266618846159743
net_return,100th,0.0685717252634663
mfe_capture_ratio,0th,-94.17406917499012
mfe_capture_ratio,10th,-5.913193335573824
mfe_capture_ratio,25th,-1.2368029778658471
mfe_capture_ratio,50th,0.004700906436442409
mfe_capture_ratio,75th,0.489962636934151
mfe_capture_ratio,90th,0.6926687383169335
mfe_capture_ratio,100th,0.9587107952942657
