symbol,timestamp,open,high,low,close,volume,amount,ema_3,ema_8,macd,macd_signal,macd_hist,rel_volume,atr_14,bullish_crossover,signal
BTC_USDT,2026-02-27 15:00:00+00:00,65855.5,66288.1,65804.8,66072.6,44421544.0,293354257.84412,66072.6,66072.6,0.0,0.0,0.0,,,False,False
BTC_USDT,2026-02-27 16:00:00+00:00,66072.6,66095.3,65433.2,65450.1,52021662.0,341917703.98858,65761.35,65934.26666666666,-49.65811965812463,-9.931623931624927,-39.72649572649971,,,False,False
BTC_USDT,2026-02-27 17:00:00+00:00,65450.1,65720.0,65088.3,65672.9,53377109.0,348999744.90545,65717.125,65876.18518518518,-70.22492999245878,-21.9902851437917,-48.23464484866709,,,False,False
BTC_USDT,2026-02-27 18:00:00+00:00,65672.9,65768.0,65205.2,65284.8,32030886.0,209747214.36575,65500.9625,65744.76625514403,-116.49778788982076,-40.891785692997516,-75.60600219682324,,,False,False
BTC_USDT,2026-02-27 19:00:00+00:00,65284.8,65434.5,65135.3,65365.4,27592115.0,180166240.45837,65433.18125,65660.4626428898,-144.9942117365863,-61.71227090171527,-83.28194083487102,,,False,False
BTC_USDT,2026-02-27 20:00:00+00:00,65365.4,65637.9,65365.4,65562.9,24690150.0,161828739.82572,65498.040624999994,65638.78205558096,-149.91312829188246,-79.35244237974871,-70.56068591213375,,,False,False
BTC_USDT,2026-02-27 21:00:00+00:00,65562.9,65721.3,65365.8,65502.3,24170946.0,158484443.95614,65500.1703125,65608.4527098963,-156.89275660966814,-94.8605052257326,-62.032251383935545,,,False,False
BTC_USDT,2026-02-27 22:00:00+00:00,65502.3,65647.8,64883.0,65609.0,41049445.0,268309678.81937,65554.58515625,65608.57432991934,-152.06149382035073,-106.30070294465622,-45.76079087569451,,,False,False
BTC_USDT,2026-02-27 23:00:00+00:00,65609.0,65922.5,65516.7,65835.9,34898021.0,229584954.29685,65695.242578125,65659.09114549283,-128.44313700456405,-110.7291897566378,-17.713947247926257,,,True,False
BTC_USDT,2026-02-28 00:00:00+00:00,65835.9,65990.8,65690.3,65906.3,22551357.0,148530381.81111,65800.77128906251,65714.02644649442,-102.85903252490971,-109.1551583102922,6.296125785382486,,,False,False
BTC_USDT,2026-02-28 01:00:00+00:00,65906.3,65943.6,65707.6,65747.2,12317709.0,81076900.86253,65773.98564453126,65721.39834727344,-94.33406140808074,-106.1909389298499,11.856877521769164,,,False,False
BTC_USDT,2026-02-28 02:00:00+00:00,65747.2,65995.5,65734.6,65926.9,10841535.0,71445088.96044,65850.44282226563,65767.06538121267,-72.24487820934155,-99.40172678574825,27.156848576406702,,,False,False
BTC_USDT,2026-02-28 03:00:00+00:00,65926.9,65947.7,65709.1,65763.8,12233027.0,80520545.25473,65807.12141113282,65766.3397409432,-67.12606085180596,-92.9465935989598,25.820532747153834,,,False,False
BTC_USDT,2026-02-28 04:00:00+00:00,65763.8,65786.8,65451.1,65632.1,14267125.0,93637870.94125,65719.61070556642,65736.50868740026,-72.85660496368655,-88.92859587190515,16.071990908218595,,414.95714285714246,False,False
BTC_USDT,2026-02-28 05:00:00+00:00,65632.1,65700.0,65468.4,65559.7,13864188.0,90907865.12447,65639.65535278321,65697.21786797798,-82.2915713765542,-87.60119097283496,5.309619596280754,,396.9785714285707,False,False
BTC_USDT,2026-02-28 06:00:00+00:00,65559.7,65560.0,62982.4,63176.4,122425432.0,785571939.55221,64408.027676391604,65137.036119538425,-278.8666411145314,-125.85428100117426,-153.01236011335712,,533.7999999999987,False,False
BTC_USDT,2026-02-28 07:00:00+00:00,63176.4,64295.0,62985.4,63790.8,67047630.0,427017322.90087,64099.413838195804,64837.87253741878,-380.6885146572313,-176.82112773238566,-203.86738692484562,,582.2214285714274,False,False
BTC_USDT,2026-02-28 08:00:00+00:00,63790.8,63846.4,63366.4,63439.7,42261697.0,268804197.38079,63769.5569190979,64527.16752910349,-484.1331333626731,-238.28352885844316,-245.84960450422994,,576.3071428571415,False,False
BTC_USDT,2026-02-28 09:00:00+00:00,63439.7,63909.7,63328.7,63625.2,36567746.0,232616415.48984,63697.37845954895,64326.73030041383,-544.8645795465709,-299.5997389960687,-245.26484055050219,,596.4357142857132,False,False
BTC_USDT,2026-02-28 10:00:00+00:00,63625.2,64020.8,63436.8,63964.5,29004838.0,185017633.84505,63830.93922977448,64246.234678099645,-559.1702473026526,-351.5138406573855,-207.65640664526705,,618.6857142857136,False,False
BTC_USDT,2026-02-28 11:00:00+00:00,63964.5,64267.8,63750.0,63805.4,32065045.0,205319985.81723,63818.16961488724,64148.27141629972,-576.6978189371584,-396.55063631334014,-180.1471826238183,0.8936320676439592,630.278571428571,False,False
BTC_USDT,2026-02-28 12:00:00+00:00,63805.4,64053.3,63782.2,63982.5,26668984.0,170479690.73141,63900.33480744362,64111.433323788675,-569.7305566116338,-431.1866203729989,-138.5439362386349,0.7562690667547769,595.0142857142855,False,False
BTC_USDT,2026-02-28 13:00:00+00:00,63982.5,65188.0,63870.0,65069.4,65567381.0,422518303.21633,64484.867403721815,64324.314807391194,-471.07494588239206,-439.16428547487754,-31.910660407514513,1.9286651453174646,660.1714285714281,True,False
BTC_USDT,2026-02-28 14:00:00+00:00,65069.4,65329.9,64240.0,64402.6,59228878.0,383875655.75121,64443.73370186091,64341.71151685982,-441.60431131238875,-439.6522906423798,-1.9520206700089489,1.7115322166637341,716.5571428571426,False,False
BTC_USDT,2026-02-28 15:00:00+00:00,64402.6,64985.0,64175.8,64802.7,34945684.0,225780967.84683,64623.216850930454,64444.15340200208,-381.56544592206774,-428.0349216983174,46.46947577624968,0.9716402151241342,757.4999999999994,False,False
BTC_USDT,2026-02-28 16:00:00+00:00,64802.7,65169.0,64636.6,65053.8,28230054.0,183271563.41867,64838.50842546523,64579.630423779396,-310.14735542057315,-404.45740844276855,94.3100530221954,0.776973801492612,776.8928571428571,False,False
BTC_USDT,2026-02-28 17:00:00+00:00,65053.8,65528.1,64806.6,65396.2,34717037.0,225964230.33546,65117.354212732615,64761.090329606195,-223.34460809978918,-368.23484837417266,144.89024027438347,0.9508824269629224,811.3857142857149,False,False
BTC_USDT,2026-02-28 18:00:00+00:00,65396.2,66141.4,65140.7,65872.6,48096274.0,315506832.68486,65494.97710636631,65008.0924785826,-114.78810113223153,-317.54549892578444,202.7573977935529,1.2985782343562968,858.8857142857144,False,False
BTC_USDT,2026-02-28 19:00:00+00:00,65872.6,66641.2,65557.3,66319.6,58428845.0,386479052.28968,65907.28855318316,65299.53859445313,7.2295393823224,-252.5904912641631,259.8200306464855,1.5626871615966886,919.7642857142855,False,False
BTC_USDT,2026-02-28 20:00:00+00:00,66319.6,67130.4,66149.6,66916.6,56191506.0,374851059.36093,66411.94427659159,65658.88557346354,150.36894959307392,-171.9986030927157,322.36755268578963,1.4570021145774372,805.7071428571419,False,False
BTC_USDT,2026-02-28 21:00:00+00:00,66916.6,66987.8,66330.3,66684.7,47385990.0,315625638.27375,66548.3221382958,65886.8443349161,242.3024595918978,-89.13839055579301,331.4408501476908,1.177334653389801,759.1285714285706,False,False
BTC_USDT,2026-02-28 22:00:00+00:00,66684.7,67729.5,66579.1,67081.3,61090735.0,410501414.78421,66814.8110691479,66152.27892715696,343.2064636127179,-2.6694197220908222,345.87588333480875,1.454473960453374,807.0142857142845,False,False
