universe_version,symbol,active,frozen_date
S&P100_FROZEN_2026-08-26,AAPL,True,2026-08-26
S&P100_FROZEN_2026-08-26,ABBV,True,2026-08-26
S&P100_FROZEN_2026-08-26,ABT,True,2026-08-26
S&P100_FROZEN_2026-08-26,ACN,True,2026-08-26
S&P100_FROZEN_2026-08-26,ADBE,True,2026-08-26
S&P100_FROZEN_2026-08-26,AIG,True,2026-08-26
S&P100_FROZEN_2026-08-26,AMD,True,2026-08-26
S&P100_FROZEN_2026-08-26,AMGN,True,2026-08-26
S&P100_FROZEN_2026-08-26,AMT,True,2026-08-26
S&P100_FROZEN_2026-08-26,AMZN,True,2026-08-26
S&P100_FROZEN_2026-08-26,AVGO,True,2026-08-26
S&P100_FROZEN_2026-08-26,AXP,True,2026-08-26
S&P100_FROZEN_2026-08-26,BA,True,2026-08-26
S&P100_FROZEN_2026-08-26,BAC,True,2026-08-26
S&P100_FROZEN_2026-08-26,BK,True,2026-08-26
S&P100_FROZEN_2026-08-26,BKNG,True,2026-08-26
S&P100_FROZEN_2026-08-26,BLK,True,2026-08-26
S&P100_FROZEN_2026-08-26,BMY,True,2026-08-26
S&P100_FROZEN_2026-08-26,BRK.B,True,2026-08-26
S&P100_FROZEN_2026-08-26,C,True,2026-08-26
S&P100_FROZEN_2026-08-26,CAT,True,2026-08-26
S&P100_FROZEN_2026-08-26,CB,True,2026-08-26
S&P100_FROZEN_2026-08-26,CHTR,True,2026-08-26
S&P100_FROZEN_2026-08-26,CI,True,2026-08-26
S&P100_FROZEN_2026-08-26,CMCSA,True,2026-08-26
S&P100_FROZEN_2026-08-26,COF,True,2026-08-26
S&P100_FROZEN_2026-08-26,COP,True,2026-08-26
S&P100_FROZEN_2026-08-26,COST,True,2026-08-26
S&P100_FROZEN_2026-08-26,CRM,True,2026-08-26
S&P100_FROZEN_2026-08-26,CSCO,True,2026-08-26
S&P100_FROZEN_2026-08-26,CVS,True,2026-08-26
S&P100_FROZEN_2026-08-26,CVX,True,2026-08-26
S&P100_FROZEN_2026-08-26,DE,True,2026-08-26
S&P100_FROZEN_2026-08-26,DHR,True,2026-08-26
