filter,signals,coverage_pct,forward_1d_mean,forward_3d_mean,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate,persistence_level,conditions,selection_score
PERSISTENCE_3,636,100.0,0.0004316594470174957,0.002512564458463894,0.006914292229379519,0.007773276123415496,0.012380552283070076,0.01093755089176518,0.029214928829104047,-0.023534981382969597,0.589622641509434,0.10377358490566038,3,NONE,0.023885454032408403
MACD_HIST_GT_0,281,35.21303258145363,0.0012147066102993036,0.0037261041415845,0.005713648134864204,0.007361963190184007,0.014089962846052153,0.014652677279305415,0.030031340360453986,-0.025639622518585658,0.5907473309608541,0.07829181494661921,1,MACD_HIST_GT_0,0.023544542227722082
RSI_GT_50,578,72.4310776942356,0.0006485957921895938,0.0026963001669110236,0.005159270252768196,0.006715259084616787,0.012537046662634253,0.013387915196928613,0.027897470171321315,-0.023425516292127205,0.5899653979238755,0.07439446366782007,1,RSI_GT_50,0.022898490202913947
PRICE_ACCEL_GT_0,765,95.86466165413535,0.0008736123603043768,0.0026132245461530077,0.004801500863304194,0.006584020404531765,0.011868933181321177,0.012756777037801426,0.027819699486754394,-0.023987867914538743,0.5895424836601307,0.0718954248366013,1,PRICE_ACCEL_GT_0,0.02264095719328329
PERSISTENCE_2,706,100.0,0.00021193417342482395,0.001295350458375102,0.005425728556386139,0.006066436983784507,0.009966893860420956,0.008116130356463191,0.0283961401226175,-0.024073528023455606,0.5892351274787535,0.09348441926345609,2,NONE,0.022507962554558798
RAW_CROSSOVER,798,100.0,0.0008854401805958193,0.0026022040321764155,0.004845427965458128,0.006542440097832669,0.011913902574679709,0.01277902698657829,0.027925765952525532,-0.024015950013983167,0.5877192982456141,0.07268170426065163,1,NONE,0.02226870808767659
TREND_STACK + PRICE_ACCEL_GT_0,360,45.11278195488722,-0.0001248399958193184,0.0006188926093816105,0.0034732245656120334,0.0063036743446047705,0.01005593593542526,0.011858889830235086,0.025096173446475974,-0.023130034095144098,0.5888888888888889,0.058333333333333334,1,TREND_STACK + PRICE_ACCEL_GT_0,0.021971582319763774
ATR_PCT_LE_4,698,87.468671679198,0.000600628346059464,0.0022472961471150174,0.004667386909578905,0.0059622860979907655,0.012702446108511033,0.012262725785671669,0.025889941075230682,-0.022189995374141184,0.5859598853868195,0.06017191977077364,1,ATR_PCT_LE_4,0.021573336199232962
TREND_STACK,367,45.98997493734336,-0.00017020493238121176,0.0004301808555940754,0.0031564117564892224,0.005983709900138079,0.009500807579295351,0.011756433694276591,0.024963004155674175,-0.023411643430493984,0.5831062670299727,0.05722070844686648,1,TREND_STACK,0.02056003188301035
MACD_HIST_GT_0 + PERSISTENCE_2,384,54.39093484419264,0.0008300828136333423,0.0016512396831727153,0.005201994564285697,0.0054144245677580916,0.011016100402528465,0.012438397271265944,0.029019897199751937,-0.02404470054820761,0.5807291666666666,0.09895833333333333,2,MACD_HIST_GT_0,0.020413643986498083
TREND_STACK + MACD_HIST_GT_0,81,10.150375939849624,-0.0013061218111596056,0.0029323558065257986,0.005574014919980333,0.005163053794464689,0.017528634795894157,0.01662143826322926,0.027109790959911766,-0.023553039299820923,0.5802469135802469,0.06172839506172839,1,TREND_STACK + MACD_HIST_GT_0,0.020303114089275834
TREND_STACK + REL_VOLUME_GE_1,156,19.548872180451127,-0.0002712855508750016,0.0004790930506083767,0.003736427435878339,0.006206507369636571,0.009668028174854047,0.014030485280222105,0.026124649283481512,-0.02278812172483903,0.5769230769230769,0.0641025641025641,1,TREND_STACK + REL_VOLUME_GE_1,0.019608797300197163
REL_VOLUME_GE_1,342,42.857142857142854,0.0007511114252676559,0.0025507774441199493,0.004776507390043477,0.00507578748667914,0.01304023697776635,0.016117186378233672,0.028928258976643362,-0.02459251802527543,0.5730994152046783,0.07894736842105263,1,REL_VOLUME_GE_1,0.01859072900128828
TREND_STACK + MACD_HIST_GT_0 + PERSISTENCE_3,193,30.345911949685533,0.0009717957808976854,0.003380944451280345,0.006573056196453328,0.007132225254279145,0.014955028941640601,0.009103342165997175,0.028061996076496322,-0.02082862762961593,0.5647668393782384,0.07772020725388601,3,TREND_STACK + MACD_HIST_GT_0,0.01849139736172324
MACD_HIST_GT_0 + PERSISTENCE_3,435,68.39622641509435,0.0005878069463310707,0.001982587599138352,0.0060145897633908435,0.006718251686098187,0.01319628281187049,0.009922191362605304,0.029090634798550417,-0.024011856906851148,0.5632183908045977,0.1103448275862069,3,MACD_HIST_GT_0,0.017807180932985882
TREND_STACK + PERSISTENCE_2,375,53.11614730878187,-0.0013601459015657978,0.0015905944625164495,0.004504418163134697,0.0047762250132672435,0.010530890753264422,0.006977267611973925,0.027224339139012423,-0.024102277875551845,0.5653333333333334,0.09333333333333334,2,TREND_STACK,0.016806104622240702
TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0 + PERSISTENCE_3,129,20.28301886792453,3.386868387610539e-05,0.0027407590804207804,0.006985095989153098,0.006042574782628707,0.015601547403083064,0.008382489909965818,0.028785311550793145,-0.021801234761697385,0.5581395348837209,0.08527131782945736,3,TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,0.016744723164804468
TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0 + PERSISTENCE_2,107,15.155807365439095,0.0004617154992902531,0.005043934774147812,0.005282191776531526,0.003528028224225821,0.014654633249393515,0.00957365901668683,0.02869958728081508,-0.022315383001137442,0.5420560747663551,0.1308411214953271,2,TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,0.011759886598343386
TREND_STACK + MACD_HIST_GT_0 + PERSISTENCE_2,147,20.821529745042493,-0.0011426416228057052,0.002797652192672969,0.0029437574093445144,0.003528028224225821,0.013392090676851836,0.00957365901668683,0.02703789552681872,-0.024242391569756237,0.5374149659863946,0.11564625850340136,2,TREND_STACK + MACD_HIST_GT_0,0.010130134532195184
