symbol,events,forward_5d_mean,forward_5d_median,positive_rate
GE,259,0.012710177021063047,0.017268277760783324,0.6872586872586872
SLV,280,0.010478342291637086,0.014038872926406487,0.6464285714285715
BAC,229,0.004359488707650371,0.010943396226415159,0.62882096069869
JPM,239,0.0061499972173073465,0.009086968388267058,0.6108786610878661
WMT,277,0.005105268043819551,0.008561356387443375,0.592057761732852
NVDA,247,-0.004534491253028096,0.0071253131003623515,0.5344129554655871
AAPL,215,0.004331445006765842,0.006710401121738707,0.5813953488372093
META,241,0.0073986434505041885,0.005792514405566829,0.5809128630705395
GLD,293,0.004037459789325155,0.005445103857566691,0.6040955631399317
AMZN,218,0.00881387769652275,0.0052861477724615025,0.5596330275229358
CAT,212,0.005985174899998909,0.005265236217613989,0.5660377358490566
AVGO,236,0.012518703590207564,0.005248620477230959,0.5423728813559322
RTX,220,0.004382762098403885,0.005058548774264038,0.5318181818181819
IWM,251,0.0036947001241720294,0.004974443227455216,0.5737051792828686
LLY,255,0.004405489846041452,0.004271482184873054,0.5450980392156862
GOOGL,234,0.003583569633039635,0.003954430042074741,0.5256410256410257
GS,225,0.003028227661642867,0.0038809831824062613,0.5244444444444445
XOM,277,0.004340037880477765,0.00355224397851317,0.5342960288808665
QQQ,278,0.00040514051088681014,0.0034328149196484192,0.564748201438849
JNJ,259,0.002230885246221129,0.0033711308611705793,0.5444015444015444
SPY,271,0.0015879129905655982,0.0026495546570459716,0.5867158671586716
MSFT,250,0.0012871679883572035,0.002548721998763104,0.552
CVX,259,0.002578961764605148,0.0021406331084588004,0.525096525096525
LMT,280,-0.0006085122737235835,0.001914717795249321,0.525
DE,294,0.0033543231908604327,0.001016183268667259,0.5204081632653061
COST,261,-0.00026094333962365773,-0.0019592337743575827,0.48659003831417624
TSLA,285,0.0028989037064379108,-0.0030182955143484014,0.47017543859649125
