filter,conditions,train_signals,train_5d_mean,train_5d_median,train_positive_rate,oos_signals,oos_mean_lift,oos_median_lift,oos_positive_rate_lift,positive_mean_periods,positive_median_periods,positive_rate_periods,holdout_mean_lift,holdout_median_lift,holdout_positive_rate_lift,symbols_tested,symbols_positive_lift,symbol_positive_lift_rate,symbol_lift_median,regime_positive_lift_rate,mfe_5d_mean,mae_5d_mean,mfe_mae_ratio,oos_lift_score,consistency_score,stability_score,efficiency_score,survivability_score,robust
EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,110,0.0051110250492005,0.0067152590846167,0.6,51,0.01268642734517523,0.0066319864381848,0.05360936718474326,3,2,2,0.028369927269906586,0.0142795710543725,0.07670807453416151,20,12,0.6,0.008364613359018898,0.5,0.04091512557062232,-0.031219122698360108,1.3105789668065055,100.0,76.33333333333331,41.06997652704846,65.52894834032527,75.40311830680808,True
REL_VOLUME_GE_1,REL_VOLUME_GE_1,2219,0.0060948993491897,0.0066109119872561,0.5863001351960343,750,0.0016354009458374459,0.001921034011007883,0.010725155685603874,2,2,2,-0.0009208262852959551,4.964712984599994e-05,-0.006437992881568766,27,15,0.5555555555555556,0.0017595461780301478,0.75,0.034283218092065165,-0.032252663330939395,1.0629577390335359,58.17700472918723,63.33333333333333,95.49904779858602,53.147886951676796,65.92467193860142,False
MACD_HIST_GT_0,MACD_HIST_GT_0,3221,0.003902159465064,0.0050345133303781,0.5631791369140019,1057,0.0002067405595305704,-0.00023777208350729998,-0.0029507074379911957,2,2,2,0.0013444504877840745,0.0005648015714677999,0.007270421722425535,27,16,0.5925925925925926,0.0007783508728985292,0.75,0.032313996822911195,-0.031845713399116994,1.0147047553284576,51.03370279765285,64.44444444444444,87.29444458442867,50.735237766422884,61.57884356045993,False
OBV_BULL_DIVERGENCE,OBV_BULL_DIV,2494,0.0043890518580741,0.0061230600969852,0.5737770649558942,774,0.000762070605572488,0.0025108004258904662,0.015464294301585671,1,3,3,0.0015360542287811206,0.0020555667354639,0.026869886831896173,27,14,0.5185185185185185,0.0005994592203621323,0.5,0.03372522556704842,-0.03285549054254989,1.0264715275936047,53.81035302786244,62.222222222222214,81.39401713612958,51.32357637968023,60.93269781846937,False
EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,281,0.0057136481348642,0.007361963190184,0.5907473309608541,112,0.005054260770272052,0.001383650261431367,0.0032475557935201147,1,1,1,0.01619263410655137,0.0101645109116545,0.055655442955214185,26,16,0.6153846153846154,0.005185072329679415,0.75,0.036116992889789534,-0.03192668399300488,1.1312478583025645,75.27130385136026,41.79487179487179,50.997622128133614,56.56239291512822,58.3056773053464,False
EMA38_CROSSOVER,EMA38_CROSSOVER,798,0.0048454279654581,0.0065424400978326,0.5877192982456141,264,-0.000405021542419732,-0.0011123205249346999,-0.028188557113181023,2,1,0,0.0011965089418705217,-0.0038864260409454,-0.03942095772390297,27,11,0.4074074074074074,-0.0017047228912925646,0.75,0.03358834470066999,-0.03214838394824566,1.0447910773599838,47.97489228790134,47.22222222222222,89.04379456378025,52.23955386799919,56.85343754267691,False
EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,221,0.0050185869653401,0.0065840204045317,0.5701357466063348,62,-0.0003709160098141157,0.00663608915064435,0.04296121903659511,1,3,3,0.00238937966792223,0.0079130547793197,0.0957556935817806,15,9,0.6,0.006119850798263979,0.5,0.032724037780990346,-0.026667643095920023,1.2271064849370552,48.14541995092942,64.66666666666666,52.582453478671965,61.35532424685276,55.805119194596905,False
BULL_MACD_DIVERGENCE,BULL_MACD_DIV,1080,0.0089633014531547,0.0069978910394271,0.5694444444444444,580,0.0009164490547182742,0.00030683323902925007,-0.0053414096033720755,1,1,1,-0.0026059816097087412,-0.00462821409091605,-0.0719644918375199,27,15,0.5555555555555556,0.0006866387354810852,0.25,0.03228683593727285,-0.030810152596981832,1.047928465645953,54.58224527359137,40.0,79.34897735734164,52.396423282297654,55.452865973684844,False
REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,714,0.0073909102231277,0.0061388428243953,0.5812324929971989,205,-0.0008267697337607614,0.0029811462248465668,0.02724291235443299,2,2,2,-0.014030506484008462,-0.0083907746572192,-0.09472049689440992,27,13,0.48148148148148145,-0.00041071755585745827,0.25,0.038143054647986736,-0.03594275452467856,1.0612167918793602,45.86615133119619,61.11111111111111,56.165215988878295,53.06083959396801,53.1761418602657,False
BULL_RSI_DIVERGENCE,BULL_RSI_DIV,730,0.0068617098812037,0.0073113876315579,0.5794520547945206,305,-0.0004260775951538606,0.0009729708694071332,0.018135721316215696,1,2,2,0.0008207341638185063,-0.0010887097384339002,-0.01129192546583846,26,14,0.5384615384615384,0.0016761867451406702,0.25,0.029739310945789996,-0.03055478809414151,0.9733109866172539,47.8696120242307,51.153846153846146,68.55680078154334,48.665549330862696,52.98729576942349,False
