filter,conditions,symbols_tested,symbols_positive_lift,symbol_positive_lift_rate,symbol_lift_mean,symbol_lift_median,symbol_lift_std
BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,21,8,0.38095238095238093,-0.009863528100579702,-0.010605849623475671,0.021539835434943144
BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,19,9,0.47368421052631576,-0.011473336860829434,-0.003956458434738984,0.037785307496498007
EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,20,12,0.6,0.01208268089491013,0.008364613359018898,0.04297942238246625
BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,17,6,0.35294117647058826,-0.019161986370253663,-0.01149954770270246,0.04822377462174199
EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,26,16,0.6153846153846154,0.006686885436144383,0.005185072329679415,0.021217017764185612
BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,19,7,0.3684210526315789,-0.012725456245501733,-0.00905168607771275,0.0381141902938941
REL_VOLUME_GE_1,REL_VOLUME_GE_1,27,15,0.5555555555555556,-0.0005932533054808329,0.0017595461780301478,0.007678220775930916
EMA38_CROSSOVER,EMA38_CROSSOVER,27,11,0.4074074074074074,0.0005051080189632593,-0.0017047228912925646,0.010161576505021424
EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,25,9,0.36,-0.0035808497789189602,-0.002488723688230645,0.012790817040854125
BULL_RSI_DIVERGENCE,BULL_RSI_DIV,26,14,0.5384615384615384,0.0006207050919429172,0.0016761867451406702,0.02789043476815448
REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,27,13,0.48148148148148145,-0.004003877571329436,-0.00041071755585745827,0.019598522645920546
BULL_MACD_DIVERGENCE,BULL_MACD_DIV,27,15,0.5555555555555556,-0.0011731925814018977,0.0006866387354810852,0.011501223504247904
EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,26,10,0.38461538461538464,-0.006789791285338063,-0.008636632855832126,0.01918791028252904
OBV_BULL_DIVERGENCE,OBV_BULL_DIV,27,14,0.5185185185185185,-0.0002058115986137411,0.0005994592203621323,0.0074990425970159055
BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,27,9,0.3333333333333333,-0.005024351230772074,-0.0027774928655754086,0.017669652343635454
TREND_2150_BULL,TREND_2150_BULL,27,7,0.25925925925925924,-0.008053676381943962,-0.006314893827338392,0.011602619126482425
RSI_GT_50,RSI_GT_50,27,6,0.2222222222222222,-0.0033850895281291233,-0.0033839679858645565,0.0078030854515039536
EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,15,9,0.6,-0.0031513000047185455,0.006119850798263979,0.026361810478558602
RSI_GT_55,RSI_GT_55,27,9,0.3333333333333333,-0.004598084411856175,-0.004116246435984773,0.009479145497402792
TREND_STACK,TREND_STACK,27,7,0.25925925925925924,-0.009310828419882355,-0.0072898380175885425,0.014999343197846175
MACD_HIST_GT_0,MACD_HIST_GT_0,27,16,0.5925925925925926,0.0005627496449895579,0.0007783508728985292,0.0060773231088485586
TREND_50200_BULL,TREND_50200_BULL,26,2,0.07692307692307693,-0.004756425051859066,0.0,0.011062924687789884
BREAKOUT_20,BREAKOUT_20,27,9,0.3333333333333333,-0.004337310151354374,-0.003463546114340122,0.009267993840937707
BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,24,8,0.3333333333333333,-0.006999675992922602,-0.0029083590216491925,0.014638605372494833
BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,24,11,0.4583333333333333,-1.003786611529616e-05,-0.0032338140578342797,0.027987122993310312
BREAKOUT_50,BREAKOUT_50,27,10,0.37037037037037035,-0.006874975821343273,-0.00319217708424694,0.020363570632563922
