signals,symbols,gross_mean,gross_median,net_mean,net_median,net_positive_rate,net_profit_factor,net_max_drawdown,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,research_horizon_exit_rate,p10_net,p25_net,p75_net,p90_net,policy,symbol
10,1,0.03223330545922439,-0.02052671548182794,0.03203330545922439,-0.02072671548182794,0.4,1.902218856738327,-0.2681901791793383,0.11505962859298133,0.10621613917435291,-0.063056939450171,-0.0394866192237196,1.8246941509729315,0.0,0.0,0.0,0.0,-0.11244884478198267,-0.04697430140059502,0.0833051979230636,0.18113064235645335,A_10D_TIME,AMD
7,1,0.023947416265081584,0.03936074951495683,0.02374741626508158,0.03916074951495683,0.5714285714285714,3.0050000832185346,-0.0813503428772675,0.057898219895373346,0.06759233571666279,-0.031067455134218967,-0.033891632062072685,1.8636293074292356,0.0,0.0,0.0,0.0,-0.034060233637203716,-0.012425997417317945,0.06699804065094814,0.07246395133426964,A_10D_TIME,AMZN
4,1,-0.008429097717772172,-0.005372117036304858,-0.008629097717772176,-0.005572117036304856,0.5,0.7766021843991071,-0.14904526557598707,0.0550058659910303,0.055558669588180454,-0.058163666868052355,-0.036650912331287255,0.9457083597534229,0.0,0.0,0.0,0.0,-0.08625922339823495,-0.0659956637761859,0.05179444902210887,0.06655544341751676,A_10D_TIME,GOOGL
5,1,0.009874852847395643,0.013839569289747722,0.009674852847395644,0.013639569289747721,0.6,2.386149837493549,-0.02833092626275191,0.040297456598689996,0.04535259990922791,-0.022369426369385704,-0.013775704831110125,1.8014523901176203,0.0,0.0,0.0,0.0,-0.01962550276023025,-0.006567367506447729,0.02430137345609904,0.036919518538638285,A_10D_TIME,HD
11,1,0.0173089743918898,0.012178377662200424,0.0171089743918898,0.011978377662200423,0.5454545454545454,2.967826517653712,-0.04822249534040157,0.044000826479989937,0.026245839782867098,-0.027564359700654892,-0.019061602580257575,1.596294162383338,0.0,0.0,0.0,0.0,-0.021302973055852735,-0.011158088322810976,0.04933900983567494,0.07038168060819869,A_10D_TIME,HON
11,1,0.09895167905746073,0.07998810359905262,0.09875167905746074,0.07978810359905261,0.7272727272727273,6.888183506603025,-0.11791260805488846,0.15254474331384493,0.13218584506196507,-0.05692343837638259,-0.043622530275408966,2.6798230687543185,0.0,0.0,0.0,0.0,-0.03707957241167072,-0.014054977217091225,0.10958009665448429,0.33061407681862587,A_10D_TIME,INTC
4,1,0.019004297429154715,0.028196911069726216,0.018804297429154716,0.027996911069726217,0.75,6.00773846238211,0.0,0.04637874721891094,0.04827651381486475,-0.025346930489567182,-0.023430074979969795,1.8297579360940952,0.0,0.0,0.0,0.0,-0.003462991786298074,0.013872807493621832,0.0329284010052591,0.033717495732150306,A_10D_TIME,JPM
7,1,-0.013573809989734073,-0.022972295150632926,-0.013773809989734074,-0.023172295150632925,0.2857142857142857,0.4540624101757737,-0.15189776855544046,0.0321063151936344,0.021255468893027762,-0.05115276204125542,-0.05872383726288699,0.6276555539218039,0.0,0.0,0.0,0.0,-0.04963689479862856,-0.03906929887994417,0.0011275318418725658,0.03564085904222382,A_10D_TIME,LLY
5,1,0.033910230464761604,0.047974893121647266,0.033710230464761605,0.04777489312164727,1.0,inf,0.0,0.05186759868645781,0.06325845823443976,-0.028281129574732767,-0.01998049471274177,1.8340002491554623,0.0,0.0,0.0,0.0,0.007959880037768152,0.008995946839349211,0.04901265314864454,0.052904155485929555,A_10D_TIME,MS
13,1,-0.007821880908574394,-0.00536194784703703,-0.008021880908574393,-0.005561947847037029,0.46153846153846156,0.5954462656982051,-0.15181742154139866,0.04036286082836363,0.042007053177486986,-0.03718955926071376,-0.029745704451056287,1.0853277540990403,0.0,0.0,0.0,0.0,-0.05656405847269625,-0.035820233779913856,0.015978574831804628,0.04430161433953331,A_10D_TIME,PFE
13,1,-0.00016328820740581123,0.004182851067896287,-0.00036328820740581016,0.0039828510678962875,0.6153846153846154,0.9731515491622281,-0.11743287697536275,0.027577578701454036,0.036968541799068166,-0.02451083822507734,-0.011404541940891244,1.1251177315200538,0.0,0.0,0.0,0.0,-0.0387838002175513,-0.0318595360026688,0.028370470819833328,0.03197403189749346,A_10D_TIME,PG
15,1,0.024057292238901486,0.015807372222368166,0.023857292238901488,0.015607372222368165,0.6666666666666666,5.038734649314338,-0.07887524653925015,0.05010867562855027,0.044112024945439865,-0.024226643543262316,-0.013615668612530829,2.068329256550523,0.0,0.0,0.0,0.0,-0.0065572027127402946,-0.003382301915672314,0.05398737195134871,0.06843921526745242,A_10D_TIME,XOM
10,1,0.04133942232289635,0.03991078647640056,0.041139422322896343,0.039710786476400556,0.5,2.0978934422782167,-0.25353873072947275,0.1011580718187223,0.1275019145855678,-0.051463015351167006,-0.0482557693033116,1.965646030036372,0.5,0.5,0.0,0.0,-0.0836151533602393,-0.07199443187444568,0.14345302030084853,0.16569705485878516,B_ATR_2x_4x,AMD
