variable,outcome,percentile,value,n
bar_1_mfe,WINNER,10,0.0008780278866205801,29
bar_1_mfe,WINNER,25,0.0023146891457912,29
bar_1_mfe,WINNER,50,0.0051140459465326,29
bar_1_mfe,WINNER,75,0.0091381383422048,29
bar_1_mfe,WINNER,90,0.010712465470903598,29
bar_1_mfe,LOSER,10,0.0001578679342586442,26
bar_1_mfe,LOSER,25,0.0009370628102686,26
bar_1_mfe,LOSER,50,0.0017356399815529498,26
bar_1_mfe,LOSER,75,0.006274514603316499,26
bar_1_mfe,LOSER,90,0.011232332929988549,26
bar_1_mfe,ALL,10,0.00026855298278492004,55
bar_1_mfe,ALL,25,0.00119998958472075,55
bar_1_mfe,ALL,50,0.003428478723181,55
bar_1_mfe,ALL,75,0.0087147649417279,55
bar_1_mfe,ALL,90,0.011328664261503002,55
bar_1_mae,WINNER,10,-0.00525465879779062,29
bar_1_mae,WINNER,25,-0.0036450749891927,29
bar_1_mae,WINNER,50,-0.0029972401868177,29
bar_1_mae,WINNER,75,-0.001292825138389,29
bar_1_mae,WINNER,90,-0.00050443005113888,29
bar_1_mae,LOSER,10,-0.01130276647805285,26
bar_1_mae,LOSER,25,-0.0059206202606021,26
bar_1_mae,LOSER,50,-0.0040187845250486505,26
bar_1_mae,LOSER,75,-0.0025873760904009,26
bar_1_mae,LOSER,90,-0.0009144576272392001,26
bar_1_mae,ALL,10,-0.00689115267390166,55
bar_1_mae,ALL,25,-0.004653477816044849,55
bar_1_mae,ALL,50,-0.0031822195981506,55
bar_1_mae,ALL,75,-0.0019627332322369,55
bar_1_mae,ALL,90,-0.00059916498308734,55
bar_1_close_return_before_costs,WINNER,10,-0.0016567476834251599,29
bar_1_close_return_before_costs,WINNER,25,0.0001700647055631,29
bar_1_close_return_before_costs,WINNER,50,0.0022123694484201,29
bar_1_close_return_before_costs,WINNER,75,0.0053416944969872,29
bar_1_close_return_before_costs,WINNER,90,0.00820952388154002,29
bar_1_close_return_before_costs,LOSER,10,-0.0059811394656755,26
bar_1_close_return_before_costs,LOSER,25,-0.003619194384958675,26
bar_1_close_return_before_costs,LOSER,50,-0.00124893667652315,26
bar_1_close_return_before_costs,LOSER,75,0.002622084210005625,26
bar_1_close_return_before_costs,LOSER,90,0.00405096694163995,26
bar_1_close_return_before_costs,ALL,10,-0.00442563418933232,55
bar_1_close_return_before_costs,ALL,25,-0.0018203489307772,55
bar_1_close_return_before_costs,ALL,50,0.0010219740025834,55
bar_1_close_return_before_costs,ALL,75,0.00326957565569315,55
bar_1_close_return_before_costs,ALL,90,0.006704172263036082,55
bar_2_mfe,WINNER,10,0.00114469533983196,29
bar_2_mfe,WINNER,25,0.0030438788878164,29
bar_2_mfe,WINNER,50,0.0085558106328518,29
bar_2_mfe,WINNER,75,0.0103805769097022,29
bar_2_mfe,WINNER,90,0.017958331800246457,29
bar_2_mfe,LOSER,10,0.00027692071783775,26
bar_2_mfe,LOSER,25,0.0010574687238004501,26
bar_2_mfe,LOSER,50,0.0032811665302372,26
bar_2_mfe,LOSER,75,0.007817837873616925,26
bar_2_mfe,LOSER,90,0.011808235947372299,26
bar_2_mfe,ALL,10,0.00066160126772258,55
bar_2_mfe,ALL,25,0.0015005311663869,55
bar_2_mfe,ALL,50,0.0051312480651439,55
bar_2_mfe,ALL,75,0.00948452032883465,55
bar_2_mfe,ALL,90,0.01345571768154674,55
bar_2_mae,WINNER,10,-0.00619748010097892,29
bar_2_mae,WINNER,25,-0.0037610353224842,29
bar_2_mae,WINNER,50,-0.0031822195981506,29
bar_2_mae,WINNER,75,-0.0021696949443186,29
bar_2_mae,WINNER,90,-0.0011175277793095803,29
bar_2_mae,LOSER,10,-0.0193977897966129,26
bar_2_mae,LOSER,25,-0.01164845208219885,26
bar_2_mae,LOSER,50,-0.005123950138894,26
bar_2_mae,LOSER,75,-0.002651035143549475,26
bar_2_mae,LOSER,90,-0.0015138854663690501,26
bar_2_mae,ALL,10,-0.01197348480133218,55
bar_2_mae,ALL,25,-0.0063347887144658,55
bar_2_mae,ALL,50,-0.0035477514628138,55
bar_2_mae,ALL,75,-0.0024707983322953004,55
bar_2_mae,ALL,90,-0.0012028054512565399,55
bar_2_close_return_before_costs,WINNER,10,-0.00223831334322894,29
bar_2_close_return_before_costs,WINNER,25,-0.0004221431484736,29
bar_2_close_return_before_costs,WINNER,50,0.0025221374627975,29
bar_2_close_return_before_costs,WINNER,75,0.0054734445408963,29
bar_2_close_return_before_costs,WINNER,90,0.012559228934225418,29
bar_2_close_return_before_costs,LOSER,10,-0.01323112224721035,26
bar_2_close_return_before_costs,LOSER,25,-0.0051252265147617,26
bar_2_close_return_before_costs,LOSER,50,-0.000721353616589,26
bar_2_close_return_before_costs,LOSER,75,0.002424875874096725,26
bar_2_close_return_before_costs,LOSER,90,0.00592954934016405,26
bar_2_close_return_before_costs,ALL,10,-0.00537202037545656,55
bar_2_close_return_before_costs,ALL,25,-0.0022709973079723,55
bar_2_close_return_before_costs,ALL,50,0.0005247420348171,55
bar_2_close_return_before_costs,ALL,75,0.00452247293187915,55
bar_2_close_return_before_costs,ALL,90,0.008073896084398463,55
bar_3_mfe,WINNER,10,0.00169946008865508,29
bar_3_mfe,WINNER,25,0.0049155208513236,29
bar_3_mfe,WINNER,50,0.008873719250604,29
bar_3_mfe,WINNER,75,0.0118753969378566,29
bar_3_mfe,WINNER,90,0.017958331800246457,29
bar_3_mfe,LOSER,10,0.0004424078912655,26
bar_3_mfe,LOSER,25,0.0010574687238004501,26
bar_3_mfe,LOSER,50,0.0034083001510265996,26
bar_3_mfe,LOSER,75,0.007817837873616925,26
bar_3_mfe,LOSER,90,0.011808235947372299,26
bar_3_mfe,ALL,10,0.0008708634584220201,55
bar_3_mfe,ALL,25,0.0018891111029068499,55
bar_3_mfe,ALL,50,0.007599814672824,55
bar_3_mfe,ALL,75,0.00969700732293095,55
bar_3_mfe,ALL,90,0.013950940970603981,55
bar_3_mae,WINNER,10,-0.00772244524567122,29
bar_3_mae,WINNER,25,-0.00441693312362,29
bar_3_mae,WINNER,50,-0.0033724426813718,29
bar_3_mae,WINNER,75,-0.0021696949443186,29
bar_3_mae,WINNER,90,-0.0011175277793095803,29
bar_3_mae,LOSER,10,-0.02480902332457475,26
bar_3_mae,LOSER,25,-0.01168065301809975,26
bar_3_mae,LOSER,50,-0.0072136685162433,26
bar_3_mae,LOSER,75,-0.003512186150686125,26
bar_3_mae,LOSER,90,-0.00185377609653675,26
bar_3_mae,ALL,10,-0.01239575996309428,55
bar_3_mae,ALL,25,-0.007880174426486999,55
bar_3_mae,ALL,50,-0.0042548117481923,55
bar_3_mae,ALL,75,-0.00266680565602865,55
bar_3_mae,ALL,90,-0.0012028054512565399,55
bar_3_close_return_before_costs,WINNER,10,-0.0025355908883706196,29
bar_3_close_return_before_costs,WINNER,25,-1.279497907913374e-05,29
bar_3_close_return_before_costs,WINNER,50,0.0041312513697815,29
bar_3_close_return_before_costs,WINNER,75,0.0068876696755124,29
bar_3_close_return_before_costs,WINNER,90,0.01059314016975476,29
bar_3_close_return_before_costs,LOSER,10,-0.01937470856238235,26
bar_3_close_return_before_costs,LOSER,25,-0.006654700302471875,26
bar_3_close_return_before_costs,LOSER,50,-0.00243827497918785,26
bar_3_close_return_before_costs,LOSER,75,0.0018029497991476,26
bar_3_close_return_before_costs,LOSER,90,0.0067666092233031,26
bar_3_close_return_before_costs,ALL,10,-0.00845769898851714,55
bar_3_close_return_before_costs,ALL,25,-0.0031283155213299,55
bar_3_close_return_before_costs,ALL,50,0.00105877702486,55
bar_3_close_return_before_costs,ALL,75,0.00606637806773065,55
bar_3_close_return_before_costs,ALL,90,0.00867435922449386,55
