bar,mae_threshold,threshold_label,winner_n,loser_n,winner_trigger_n,loser_trigger_n,false_negative_rate_winners,loser_trigger_rate,winner_survival_rate,loser_survival_rate,interpretation
1,-0.005,-0.500%,29,26,4,9,0.13793103448275862,0.34615384615384615,0.8620689655172413,0.6538461538461539,DESCRIPTIVE ONLY — NOT OPTIMIZED
1,-0.01,-1.000%,29,26,0,4,0.0,0.15384615384615385,1.0,0.8461538461538461,DESCRIPTIVE ONLY — NOT OPTIMIZED
1,-0.015,-1.500%,29,26,0,0,0.0,0.0,1.0,1.0,DESCRIPTIVE ONLY — NOT OPTIMIZED
1,-0.02,-2.000%,29,26,0,0,0.0,0.0,1.0,1.0,DESCRIPTIVE ONLY — NOT OPTIMIZED
1,-0.025,-2.500%,29,26,0,0,0.0,0.0,1.0,1.0,DESCRIPTIVE ONLY — NOT OPTIMIZED
2,-0.005,-0.500%,29,26,5,13,0.1724137931034483,0.5,0.8275862068965517,0.5,DESCRIPTIVE ONLY — NOT OPTIMIZED
2,-0.01,-1.000%,29,26,0,9,0.0,0.34615384615384615,1.0,0.6538461538461539,DESCRIPTIVE ONLY — NOT OPTIMIZED
2,-0.015,-1.500%,29,26,0,4,0.0,0.15384615384615385,1.0,0.8461538461538461,DESCRIPTIVE ONLY — NOT OPTIMIZED
2,-0.02,-2.000%,29,26,0,3,0.0,0.11538461538461539,1.0,0.8846153846153846,DESCRIPTIVE ONLY — NOT OPTIMIZED
2,-0.025,-2.500%,29,26,0,1,0.0,0.038461538461538464,1.0,0.9615384615384616,DESCRIPTIVE ONLY — NOT OPTIMIZED
3,-0.005,-0.500%,29,26,6,17,0.20689655172413793,0.6538461538461539,0.7931034482758621,0.34615384615384615,DESCRIPTIVE ONLY — NOT OPTIMIZED
3,-0.01,-1.000%,29,26,1,10,0.034482758620689655,0.38461538461538464,0.9655172413793104,0.6153846153846154,DESCRIPTIVE ONLY — NOT OPTIMIZED
3,-0.015,-1.500%,29,26,1,4,0.034482758620689655,0.15384615384615385,0.9655172413793104,0.8461538461538461,DESCRIPTIVE ONLY — NOT OPTIMIZED
3,-0.02,-2.000%,29,26,0,4,0.0,0.15384615384615385,1.0,0.8461538461538461,DESCRIPTIVE ONLY — NOT OPTIMIZED
3,-0.025,-2.500%,29,26,0,3,0.0,0.11538461538461539,1.0,0.8846153846153846,DESCRIPTIVE ONLY — NOT OPTIMIZED
