metric,variable,outcome,value,n
mean,bar_1_mfe,WINNER,0.007555188289637528,29
median,bar_1_mfe,WINNER,0.0051140459465326,29
mean,bar_1_mfe,LOSER,0.004190639601196716,26
median,bar_1_mfe,LOSER,0.0017356399815529498,26
mean,bar_1_mae,WINNER,-0.002834245068487103,29
median,bar_1_mae,WINNER,-0.0029972401868177,29
mean,bar_1_mae,LOSER,-0.0047996180221344395,26
median,bar_1_mae,LOSER,-0.0040187845250486505,26
mean,bar_1_close_return_before_costs,WINNER,0.004176836181333245,29
median,bar_1_close_return_before_costs,WINNER,0.0022123694484201,29
mean,bar_1_close_return_before_costs,LOSER,-0.0010669131960418942,26
median,bar_1_close_return_before_costs,LOSER,-0.00124893667652315,26
mean,bar_2_mfe,WINNER,0.010007433668092246,29
median,bar_2_mfe,WINNER,0.0085558106328518,29
mean,bar_2_mfe,LOSER,0.005083069387383789,26
median,bar_2_mfe,LOSER,0.0032811665302372,26
mean,bar_2_mae,WINNER,-0.003335462116228782,29
median,bar_2_mae,WINNER,-0.0031822195981506,29
mean,bar_2_mae,LOSER,-0.00810708165530524,26
median,bar_2_mae,LOSER,-0.005123950138894,26
mean,bar_2_close_return_before_costs,WINNER,0.005177377935302511,29
median,bar_2_close_return_before_costs,WINNER,0.0025221374627975,29
mean,bar_2_close_return_before_costs,LOSER,-0.0025393053479687497,26
median,bar_2_close_return_before_costs,LOSER,-0.000721353616589,26
mean,bar_3_mfe,WINNER,0.010866234411619421,29
median,bar_3_mfe,WINNER,0.008873719250604,29
mean,bar_3_mfe,LOSER,0.005132209136109608,26
median,bar_3_mfe,LOSER,0.0034083001510265996,26
mean,bar_3_mae,WINNER,-0.003937541291215476,29
median,bar_3_mae,WINNER,-0.0033724426813718,29
mean,bar_3_mae,LOSER,-0.00976934252831493,26
median,bar_3_mae,LOSER,-0.0072136685162433,26
mean,bar_3_close_return_before_costs,WINNER,0.004765931088516658,29
median,bar_3_close_return_before_costs,WINNER,0.0041312513697815,29
mean,bar_3_close_return_before_costs,LOSER,-0.0037944378768395314,26
median,bar_3_close_return_before_costs,LOSER,-0.00243827497918785,26
bar3_mfe_gt_bar1_mfe,bar3_mfe_gt_bar1_mfe,WINNER,0.6551724137931034,29
bar3_mfe_gt_bar1_mfe,bar3_mfe_gt_bar1_mfe,LOSER,0.34615384615384615,26
bar3_mfe_gt_2x_bar1_mfe,bar3_mfe_gt_2x_bar1_mfe,WINNER,0.27586206896551724,29
bar3_mfe_gt_2x_bar1_mfe,bar3_mfe_gt_2x_bar1_mfe,LOSER,0.19230769230769232,26
