symbol,signals,forward_1d_mean,forward_1d_median,forward_3d_mean,forward_3d_median,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mfe_5d_median,mae_5d_mean,mae_5d_median,positive,strong_positive,flat,negative,positive_rate
LLY,6,0.0169726018621556,0.00874892016102575,0.023351896933824997,0.0200845954521795,0.018725341033968758,0.0151846549762593,0.02286327076456572,0.0457974567697028,0.045850420964754106,0.03927253008016645,-0.019828367556001637,-0.01674747964278215,2,2,0,1,0.6666666666666666
JNJ,6,0.004759215079686917,0.00313665875117855,0.023659893621123366,0.0214733401321658,0.02394973546812072,0.02375661807415405,0.02264502528179813,0.00507420094331455,0.04161207874835973,0.034003486807718,-0.00937871891917405,-0.00859523013913785,1,3,2,0,0.6666666666666666
IWM,6,0.007436816012985017,0.0041994698026123,0.00602160658505435,0.00831404437046055,0.021361773665602154,0.01323911566354705,0.034971796905179535,0.0213878963432564,0.03167777871972652,0.02608307344845355,-0.010295312459347032,-0.0050377580392819,2,2,2,0,0.6666666666666666
GS,8,-0.0051509516253414375,-0.0063049847860785005,0.006631406388542836,0.005712653982447949,-0.002171810694306912,0.0171931504606136,0.01460623362800863,0.0096970495010393,0.03369602468536058,0.027138590658994252,-0.03369312303838844,-0.028999511526240647,4,1,0,3,0.625
CVX,5,0.00936314431936588,0.0097158762670026,0.00512307851787464,0.0026497085320613,0.01926948858984588,0.011816606270679,0.004364106027891198,-0.0232655847907148,0.03388543997144514,0.0375496313102665,-0.0109863909943148,-0.0117640880205871,1,2,2,0,0.6
XOM,5,0.0019561418422456593,0.0044911168350836,0.006419462021477078,0.0029060167756422,0.00499468732871666,0.0116080454561298,-0.0040275694254264,-0.0051833869168689,0.02987913741053106,0.0178823087281951,-0.02365334894191764,-0.0238755696453338,2,1,1,1,0.6
RTX,6,0.006616856423650033,0.00830879498865095,0.012939148529142484,0.0097244156012027,0.00657988203509995,0.0070118553934597,0.035240699110982585,0.02110437544267925,0.028942414041684367,0.02509058803960925,-0.01825840277430655,-0.01609744295715945,1,2,1,1,0.5
SPY,4,0.0052749978528879,0.0059602208685939,0.011255057870446374,0.0141362170412094,0.014001083584122501,0.01600215703006185,0.030927160373046672,0.0244663415502702,0.025313119901640153,0.02321589415087305,-0.009783371347748749,-0.004636061924106601,0,2,1,1,0.5
NVDA,8,-0.004333307581560113,-0.00320508402840775,-0.0011565698801815133,0.0005179170556101,-0.005597189093946712,-0.007247840466246299,0.022894033851741588,0.03338838200776,0.04392517387718983,0.04345954106247915,-0.04965073771431498,-0.0452530061118538,1,3,0,4,0.5
AAPL,4,0.0037256679997808486,-0.006366082334109651,0.007790600100251975,-0.0015149969922763499,0.035829656701380934,0.0245879066839764,0.06492141543210224,0.0359376844093,0.031324705331880996,0.020107028504635797,-0.0249355746697286,-0.03283950631911555,1,1,1,0,0.5
AVGO,7,-0.005828306063738743,-0.0025728028636414,0.01385826489599153,-0.0223656023666224,0.026731925154434177,-0.0202716979256001,0.02652509293452216,0.0227039123589949,0.07391535368661281,0.013312251351627,-0.04920925298102497,-0.0465714605317125,1,2,0,4,0.42857142857142855
TSLA,7,0.01937713701229824,0.0128880181228188,0.008354440254973587,0.0024490295720318,0.003974989537766742,-0.009803680680115,0.004969018995777155,0.025521472392638,0.05810155814859717,0.0635396447087153,-0.03309595376988384,-0.0336976744186047,0,3,0,3,0.42857142857142855
MSFT,7,0.011134161309365714,0.0139704080184723,0.04172435139498606,0.0114218810979576,0.04920999881778115,0.0050432276657061,0.08019488919538656,0.0963738857857869,0.08157973884589888,0.0395442087783013,-0.017691643349482943,-0.0122238232468779,0,3,4,0,0.42857142857142855
META,7,-0.011294679892678372,-0.0121273031825795,-0.012147327971627443,0.0133875642207876,-0.014572080966299516,-0.0191660786662508,0.008422841906680084,-0.0030376929111730483,0.03751180020524229,0.042780924779344,-0.053337134404619006,-0.0495158740613883,3,0,1,3,0.42857142857142855
QQQ,5,-0.0010757903608091598,-0.0053140792243501,0.0059629291044177605,-0.0002089573030576,-0.006953655401408861,-0.0244447644320107,0.013182051824028942,-0.0083527557357834,0.01829635272393932,0.0089990945183533,-0.02744796498831868,-0.0386933536296876,1,1,0,3,0.4
GE,5,0.0027262187335330606,0.0028561129135125,-0.01229596549807738,-0.0230519480519481,-0.002298656445966378,-0.0013587333277874,0.0063274716074254245,0.0006350230440884501,0.031245067872734962,0.0237017854709009,-0.03816259173839977,-0.035743005296287,0,2,0,2,0.4
SLV,6,-0.01262202726319233,-0.00872945880255845,-0.001095336643318616,-0.0034499872824943004,-0.016566276915496052,-0.00674515914115785,-0.007468877576466466,-0.002030512732603549,0.0465213158444114,0.02845738991158745,-0.06764600265803505,-0.04752154264505094,1,1,1,2,0.3333333333333333
COST,12,-0.0015905753818656419,-0.0025388526888127,0.004939732627805399,0.0037655292076874502,0.001693951449876609,0.0006990533739724999,0.0001992140447796345,-0.0066319533727607,0.024176131523360234,0.01907245292486695,-0.020401524427720082,-0.0234282759339247,2,2,5,3,0.3333333333333333
BAC,6,-0.00150315772958545,-0.0013731174098198,-0.006987713178377017,-0.00235708044484375,0.0025565530400506833,-0.0002727828450033501,0.0299921844386698,0.06449575220560494,0.0270938082288578,0.0205865880376233,-0.031894332851426184,-0.03199661714916805,1,1,3,1,0.3333333333333333
WMT,9,-0.004366514485027589,-0.0016165535079211,-0.008207280071208523,-0.008149186976462,-0.005246907225899976,-0.0042588790022055,-0.01722689392219069,0.0003532632694513,0.020289810909196643,0.0173146889931179,-0.027634344329298653,-0.0243329125495146,2,1,4,1,0.3333333333333333
AMZN,7,0.0026380162799909007,0.0062620512349647,-0.008466215138756514,-0.0160535117056858,0.005845847037907928,-4.74811262524133e-05,0.01877210975788124,0.0181345224823485,0.03596239294494237,0.0224265321695111,-0.039634056966383814,-0.0278645552802613,1,1,3,1,0.2857142857142857
GLD,7,-0.003506898060125046,2.6376872757971626e-05,-0.005398501770192058,-0.0106331497926993,-0.009395351295024128,-0.0119124127800219,-0.005460104598547046,-0.0131620595062249,0.020732421302930026,0.010507792860734,-0.03144508571042186,-0.0290541253428993,0,2,1,3,0.2857142857142857
CAT,7,0.0023040714646976996,0.0007577497129735,-0.006714920565440728,-0.0109193956037944,0.014809601965617798,0.0006181822160464,0.044449274612851336,0.04725006696651065,0.047994328909298355,0.0359530400341367,-0.04213349491439823,-0.0403157290470723,0,2,2,3,0.2857142857142857
GOOGL,5,-0.0037709276823940804,0.0078829143064429,-0.00918756153856454,-0.0083733530353404,-0.0147755867661165,-0.0303602457278112,0.0032860527671078636,-0.0223043295843653,0.0426753318387792,0.0412143873650137,-0.04274534237892992,-0.031783168465843,0,1,1,3,0.2
DE,10,0.0008516391220873894,-0.0024748635487971,0.002399040716325478,0.0030605982298597,-0.003783366942172045,-0.0044138692046415,-0.001207222577860101,0.0040691092260489,0.03215137571737543,0.025271622671869748,-0.02863041883697685,-0.0245386249279038,0,2,4,2,0.2
JPM,7,-0.008289000104266916,-0.0071196999555018,-0.0129592564663898,-0.0064840124594749,-0.0116488940121806,-0.0178172988581178,-0.0036940481831273728,0.0154046495109281,0.0139539798071981,0.0084186357983355,-0.029798448730358442,-0.0235976912529097,1,0,2,3,0.14285714285714285
LMT,5,0.00266052804561258,-0.0013438279900171,0.00598292523228138,0.0126903791180468,-0.008040638735598661,0.0032635822614706,-0.029875299375336,-0.0400459804489634,0.022931389719400702,0.0211211005401767,-0.02712686165618272,-0.02289634360306,0,0,3,2,0.0
