symbol,split,signals,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,positive_rate,mfe_5d_mean,mae_5d_mean
JNJ,TRAIN,7,0.0261745626738576,0.033049520663992915,0.02931387600517608,0.010711343037627108,0.8571428571428571,0.04260700087730591,-0.008641301318111107
AAPL,TRAIN,5,0.025063779111594166,0.02458790668397648,0.04351293587699338,0.03593768440930001,0.8,0.03777711817389253,-0.025776499985684077
NVDA,TRAIN,13,-0.0003978245171232669,0.02140280561122232,0.009456533037523985,0.0077857609405618255,0.5384615384615384,0.03978515628242896,-0.04082135263300257
CVX,TRAIN,5,0.01926948858984594,0.011816606270679042,0.004364106027891191,-0.023265584790714833,1.0,0.03388543997144518,-0.010986390994314865
XOM,TRAIN,10,0.00539892037049734,0.011676059306938047,0.01143603101841375,-0.0035543810165276635,0.6,0.03256109168852599,-0.026282852904268517
IWM,TRAIN,10,0.015279606062096019,0.01063697989336998,0.01854376619306163,0.020871747486175596,0.8,0.026465713374887102,-0.015008559013123457
RTX,TRAIN,9,0.005379751211143276,0.009424603174603252,0.017522502837614647,0.004939934882676633,0.5555555555555556,0.025342347206291027,-0.022131379445426463
GE,TRAIN,6,0.0010003498208801531,0.00806832391366269,0.015135075526762853,0.02657848764661841,0.5,0.03310907502260407,-0.03668340861055369
MSFT,TRAIN,10,0.029959827622640857,0.008015571724967141,0.04586703700020757,0.0358273337243008,0.6,0.06737674931113431,-0.023881351510595828
AMZN,TRAIN,11,0.010297804169569198,0.007276990936331051,-0.0018208294931155924,-0.005595489174880619,0.5454545454545454,0.03589942159057651,-0.033979832011061535
CAT,TRAIN,8,0.014930062438019504,0.004788026806471168,0.047213719875844995,0.059520867655134646,0.625,0.045833505533592306,-0.03956113690419148
SPY,TRAIN,9,0.0038003446154860373,0.0004228386568496667,0.0062819189970908275,-0.010469816446888824,0.5555555555555556,0.015014415586910794,-0.013518269051216657
BAC,TRAIN,8,0.008999066765720085,-0.000272782845003372,0.013816700241705782,0.02451709853351558,0.5,0.03204751020749705,-0.026059221746093805
COST,TRAIN,18,0.002961492124718073,-0.0005534310286085531,0.0030833691330697244,-0.002581832210582613,0.5,0.024815994933558558,-0.020771792015978063
META,TRAIN,10,0.0018353067125015943,-0.0018152202977007592,-0.00012499844290162856,-0.008946183117185647,0.5,0.04689157526338996,-0.0447381896740965
DE,TRAIN,10,-0.0007822646839523939,-0.0030871594230456045,0.0078122052480376954,0.006801878187568833,0.4,0.029911619441021452,-0.029212114670396215
WMT,TRAIN,13,0.0005365476086068342,-0.004258879002205562,-0.0026754426410641016,0.0003532632694513982,0.46153846153846156,0.02647931946654114,-0.03163960885003924
GS,TRAIN,13,-0.010179695545365063,-0.005147388108848516,-0.0012519009664800445,-0.0022714269156047795,0.46153846153846156,0.030482198384716722,-0.043036352643113826
QQQ,TRAIN,10,-0.004904819447215403,-0.005216421504703694,-0.004179239697200377,-0.01423412552619846,0.4,0.013818051516475017,-0.02452941335605132
SLV,TRAIN,8,-0.012052275582050465,-0.006745159141157919,-0.03356187549920217,-0.04622256427362814,0.375,0.04667477313738572,-0.06408615210926313
LMT,TRAIN,6,-0.010903533870905516,-0.010400936628799096,-0.03520649551948405,-0.050954228344593844,0.5,0.019601615036871523,-0.03262230756978555
GLD,TRAIN,11,-0.0072505202134639105,-0.011912412780021975,-0.008996670660540157,0.006497852038943819,0.36363636363636365,0.020865424735577006,-0.029485260582072733
JPM,TRAIN,10,-0.006246090956214478,-0.01436370188818964,-0.005859829504594372,0.003946132779608702,0.2,0.020616795986742577,-0.029275960489979956
TSLA,TRAIN,11,-0.012285344314069468,-0.030123456790123404,-0.015402258196631425,-0.02659770510331949,0.2727272727272727,0.04012605891992022,-0.043650267254161164
GOOGL,TRAIN,9,-0.014970461178384778,-0.030360245727811264,-0.013407859148761648,-0.022304329584365346,0.4444444444444444,0.029821214135231103,-0.04045615897503432
AVGO,TRAIN,12,0.0046873059946614115,-0.030652588199802322,-0.003559786740821108,-0.03159841383180667,0.3333333333333333,0.05345691372404406,-0.05390878584790098
LLY,TRAIN,12,-0.01632121683138287,-0.034457639685819164,-0.006325136795546721,-0.021239033205566415,0.3333333333333333,0.02981276439303145,-0.04353365199439718
