filter,signals,coverage_pct,forward_1d_mean,forward_3d_mean,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate,eligible,selection_score
TREND_STACK + MACD_HIST_GT_0 + PERSISTENCE_3,12,6.0,0.003759765144771656,0.016645083944813937,0.02598579418980564,0.019617401931579015,0.02490078365936249,0.01262049740039306,0.041688296236562485,-0.013202804542622662,0.75,0.25,True,0.23873218135210528
MACD_HIST_GT_0 + PERSISTENCE_2,59,29.5,0.0036535336857030486,0.011789566653144753,0.023892334839233947,0.023443684413501975,0.026656614713223833,0.025521472392638023,0.04413754092946858,-0.022132730254418823,0.6949152542372882,0.23728813559322035,True,0.22488515536063783
PERSISTENCE_3,125,62.5,0.005159270132944688,0.014489182408938395,0.02376388833404589,0.01733816881116801,0.020436835282372067,0.0077857609405618255,0.04449041670816936,-0.01956315903934123,0.688,0.224,True,0.21853671816781758
TREND_STACK + MACD_HIST_GT_0 + PERSISTENCE_2,14,7.000000000000001,0.003495632056222172,0.010232279520671985,0.016862100404662166,0.014500010550384301,0.010866709378948815,-0.0006941172516559124,0.03693521796061751,-0.018673657246264876,0.6428571428571429,0.21428571428571427,True,0.20300715024241187
TREND_STACK + MACD_HIST_GT_0 + PERSISTENCE_2 + PRICE_ACCEL_GT_0,14,7.000000000000001,0.003495632056222172,0.010232279520671985,0.016862100404662166,0.014500010550384301,0.010866709378948815,-0.0006941172516559124,0.03693521796061751,-0.018673657246264876,0.6428571428571429,0.21428571428571427,True,0.20300715024241187
PERSISTENCE_2,150,75.0,0.004251345481821815,0.006965306302070662,0.014290717742489042,0.010774368404964374,0.011889357350699147,0.0014366613325273447,0.039265524895439816,-0.025489663092638337,0.6,0.18666666666666668,True,0.18754205788347506
REL_VOLUME_GE_1_2,47,23.5,0.0020641972489359316,0.006236991795829325,0.011266891397494013,0.009424603174603252,0.015639732528672935,0.011733392931519537,0.0420214264779521,-0.0268591207751587,0.5957446808510638,0.1702127659574468,True,0.1853206264775414
TREND_STACK + PERSISTENCE_2,64,32.0,0.004107586496752552,0.0051443200520652176,0.008715144910276982,0.009191237285749554,0.0020246528597671603,-0.002253603663384507,0.03371758966875241,-0.024633567739150923,0.59375,0.140625,True,0.1845588661000247
MACD_HIST_GT_0,77,38.5,5.694221638172417e-05,0.0030492427613626875,0.012511638203873698,0.005988341282459064,0.013279793545482471,0.004207254671568794,0.03668315345303297,-0.028775726035645637,0.5974025974025974,0.19480519480519481,True,0.18341261811850054
REL_VOLUME_GE_1,90,45.0,-0.000780545486053573,0.0016009928406548492,0.006624446299544132,0.008631167282457164,0.006211664902541725,-0.0015723866807903497,0.03529079140001971,-0.030050988893656358,0.5777777777777777,0.15555555555555556,True,0.17937515043105332
TREND_STACK + MACD_HIST_GT_0,18,9.0,0.0014520821078622774,0.004441357059938157,0.00669960440833668,0.009068196843035281,-0.004034544256565662,-0.008299040662299695,0.031495752572180354,-0.025372833779645023,0.5555555555555556,0.16666666666666666,True,0.17301440445679137
TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,18,9.0,0.0014520821078622774,0.004441357059938157,0.00669960440833668,0.009068196843035281,-0.004034544256565662,-0.008299040662299695,0.031495752572180354,-0.025372833779645023,0.5555555555555556,0.16666666666666666,True,0.17301440445679137
PERSISTENCE_1,173,86.5,0.002616837692449145,0.0026989937181847346,0.008697112808500527,0.005043227665706196,0.003941508769464815,-0.005183386916868926,0.035769457662993005,-0.02857978628295662,0.5549132947976878,0.16184971098265896,True,0.17000424780530066
TREND_STACK,85,42.5,0.00048328280654589206,-0.0006213286184299394,0.0010198295770893536,0.0006181822160464812,-0.008516135164838842,-0.009278834860230067,0.028384399317769173,-0.02988728001602594,0.5058823529411764,0.10588235294117647,True,0.15219743343358547
RAW_CROSSOVER,200,100.0,-0.000838313491479919,-0.0012332004502666172,0.0024589798149533184,0.000161446146229427,0.00018639320861159325,-0.00796912902640412,0.03250063121034311,-0.03290029860216761,0.5,0.145,True,0.1501130123023606
PRICE_ACCEL_GT_0,188,94.0,-0.0008796101255572158,-0.0017321575787186717,0.0020249905230662313,-0.0017047174860463365,0.0015783212835541035,-0.00829580607717273,0.03192705470616641,-0.03288944951927928,0.48404255319148937,0.14361702127659576,True,0.14401946371721439
RSI_GT_55,77,38.5,-0.0004168092896835556,-0.0014208346579070565,0.0006716118501649663,-0.0034327124785454854,-0.0018199512440858403,-0.002581832210582613,0.02916422330825274,-0.030247409497305866,0.4805194805194805,0.1038961038961039,True,0.1417529454208623
RSI_GT_50,144,72.0,-0.001744207662242328,-0.003037051424313401,-0.00024065457947416373,-0.0029121893605789095,-0.007570918450411264,-0.011853442157973348,0.03060728022422308,-0.033270945724526296,0.4791666666666667,0.11805555555555555,True,0.14171146744759475
