signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,period,period_start,period_end,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
45,16,-0.005957691994861611,-0.0066892575804251,0.37777777777777777,0.023668657221829884,-0.030089210949525182,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.00432567508071281,-0.0042902253650571,-0.10203588681849551
34,16,-0.010798570871577333,0.00375985499101005,0.5294117647058824,0.04169559615871356,-0.05298277901582863,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.009166553957428533,0.00615888720637805,0.04959810010960908
14,11,0.013750071389899737,0.0146057508573619,0.5714285714285714,0.03349281067350109,-0.034950247696590976,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.015382088304048538,0.0170047830727299,0.09161490683229812
38,15,-0.006823269402668573,0.006151393746162101,0.5526315789473685,0.04114293854721955,-0.04909221463329644,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.005191252488519772,0.0085504259615301,0.07281791435109519
34,19,-0.0030120048254263943,-0.0043747433553543505,0.4411764705882353,0.0253963035370464,-0.03939709063554574,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.0013799879112775934,-0.0019757111399863504,-0.038637194008038
40,17,-0.007398329718618651,0.006151393746162101,0.55,0.04032991486807757,-0.04935931100886633,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.00576631280446985,0.0085504259615301,0.07018633540372676
317,27,0.0020444572633589934,0.0016496357054485,0.5205047318611987,0.033059013189192056,-0.033091582867549485,REL_VOLUME_GE_1,REL_VOLUME_GE_1,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0036764741775077944,0.0040486679208165,0.04069106726492544
104,26,-0.0013539809042123702,-0.0017391629607619499,0.47115384615384615,0.026483112597168568,-0.0351424192289119,EMA38_CROSSOVER,EMA38_CROSSOVER,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.00027803600993643075,0.0006598692546060502,-0.008659818442427136
95,25,-0.0037767592011594105,-0.0023916662426123,0.4631578947368421,0.02462122795279024,-0.03643187232177734,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.0021447422870106096,7.365972755700272e-06,-0.01665576985943118
111,17,-0.010558021778046054,-0.0079234526664742,0.3783783783783784,0.02482801172165192,-0.03715893572330888,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.008926004863897254,-0.0055244204511062,-0.10143528621789488
