policy,signals,return_p05,return_p10,return_p25,return_p50,return_p75,return_p90,return_p95,mfe_p10,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mae_p10,mae_p25,mae_p50,mae_p75,mae_p90,mae_le_minus_1pct,mae_le_minus_2pct,mae_le_minus_3pct,mfe_ge_1pct,mfe_ge_2pct,mfe_ge_3pct,mfe_ge_5pct
ATR_SL1.0_TP2.0,156,-0.04245147015990705,-0.03517801850720803,-0.023027952427089188,-0.014972347086536275,0.037285224298237274,0.05466647595071816,0.0674192846836218,0.0021178512626623958,0.008550942515970994,0.028751893068706402,0.0505059267253834,0.0697493201259538,-0.04942791880432823,-0.03170005091559491,-0.021892919800372057,-0.009293295452633271,-0.004427425247300665,0.7371794871794872,0.5256410256410257,0.28846153846153844,0.717948717948718,0.6153846153846154,0.4807692307692308,0.2692307692307692
ATR_SL1.0_TP3.0,156,-0.04245147015990705,-0.035864999259885955,-0.023597497669706452,-0.015673955212779977,0.041979880509161016,0.06487526092934315,0.08462677442861516,0.0021178512626623958,0.008550942515970994,0.028990824262533965,0.059874418488738645,0.07655096821337237,-0.04942791880432823,-0.031752614123203876,-0.022670616691309542,-0.010179371228993511,-0.004698015953912005,0.75,0.5384615384615384,0.2948717948717949,0.717948717948718,0.6153846153846154,0.48717948717948717,0.32051282051282054
ATR_SL1.5_TP3.0,156,-0.05747710690066557,-0.04462547970647701,-0.028580580852886783,0.012706249117163892,0.050489015767609724,0.06756054333944983,0.09177911360163443,0.004349833527054203,0.012830815619048308,0.0343914545569135,0.062374798985683766,0.07802951607854258,-0.05798773420762254,-0.03835871219846809,-0.024880564927763527,-0.010179371228993511,-0.004698015953912005,0.75,0.5897435897435898,0.38461538461538464,0.8076923076923077,0.6923076923076923,0.5512820512820513,0.3782051282051282
ATR_SL1.5_TP4.0,156,-0.05747710690066557,-0.04462547970647701,-0.028580580852886783,0.009055079648865538,0.05058765349113048,0.07675133844268756,0.09340420747272576,0.004349833527054203,0.012830815619048308,0.0343914545569135,0.06745773317947124,0.08787553828910444,-0.058308093221277335,-0.038976229014697494,-0.02510005209683841,-0.01098569914791589,-0.004873674277141027,0.7628205128205128,0.6025641025641025,0.391025641025641,0.8076923076923077,0.6923076923076923,0.5512820512820513,0.3782051282051282
ATR_SL2.0_TP4.0,156,-0.06166156294751529,-0.051365141822101446,-0.02917636529103307,0.01757831629654394,0.05564417764821833,0.07746686397982416,0.09424109802899183,0.005950090308086575,0.01982093947479663,0.04059282391845653,0.06985185590414689,0.09403324892558451,-0.06551089035517194,-0.04079446611752613,-0.025193622392399473,-0.01098569914791589,-0.004873674277141027,0.7628205128205128,0.6089743589743589,0.4358974358974359,0.8525641025641025,0.7435897435897436,0.5897435897435898,0.41025641025641024
FIXED_SL1.0_TP2.0,158,-0.01000000000000012,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0012458912521634113,0.0056377354881398944,0.01457981723893853,0.02759051682269309,0.03509267357980166,-0.03022899957199636,-0.021424826323188484,-0.012749839586662204,-0.005519824443804805,-0.0017882261076246006,0.6075949367088608,0.25949367088607594,0.10126582278481013,0.6012658227848101,0.43670886075949367,0.20253164556962025,0.03164556962025317
FIXED_SL1.0_TP3.0,158,-0.01000000000000012,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.0012458912521634113,0.0056377354881398944,0.01457981723893853,0.031621542747647946,0.04087383021932446,-0.031064622360186766,-0.021878088994256445,-0.013710260184234602,-0.006389611388184752,-0.0026525067049389278,0.6645569620253164,0.2721518987341772,0.10759493670886076,0.6012658227848101,0.43670886075949367,0.3227848101265823,0.05063291139240506
FIXED_SL1.5_TP3.0,158,-0.015000000000000124,-0.015000000000000013,-0.015000000000000013,-0.014999999999999902,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.001594685433859766,0.008207587211048306,0.02241359617264549,0.03311256219485453,0.04448675931207606,-0.03287805682047836,-0.026176371851817898,-0.01635339688273596,-0.006389611388184752,-0.0026525067049389278,0.6645569620253164,0.36075949367088606,0.13291139240506328,0.6708860759493671,0.5316455696202531,0.4050632911392405,0.06962025316455696
FIXED_SL1.5_TP4.5,158,-0.015000000000000124,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,0.04499999999999993,0.04499999999999993,0.04499999999999993,0.001594685433859766,0.008207587211048306,0.02241359617264549,0.04650871929101402,0.060078489594182286,-0.03315965612103651,-0.02683279254438342,-0.018403599068906984,-0.009237807437904366,-0.004223002888876825,0.7278481012658228,0.43037974683544306,0.13924050632911392,0.6708860759493671,0.5316455696202531,0.4050632911392405,0.17721518987341772
FIXED_SL2.0_TP4.0,158,-0.02000000000000013,-0.020000000000000018,-0.020000000000000018,-0.019999999999999907,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0016777791790590915,0.008737450474709252,0.026750981256056572,0.043553095804414355,0.059222490921354634,-0.035837299744191385,-0.028249778692669036,-0.02171962236190428,-0.008575999781467142,-0.004051554252714325,0.7088607594936709,0.5443037974683544,0.1962025316455696,0.7088607594936709,0.5949367088607594,0.44936708860759494,0.1518987341772152
