filter,signals,coverage_pct,forward_1d_mean,forward_3d_mean,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate,quality_rank
TREND_STACK + MACD_HIST_GT_0,49,17.5,-0.0010142330548857574,-0.002575505104110067,0.004739324376884685,0.010560821025700662,0.0022722745084046963,0.004252733900364625,0.02942878108864974,-0.03142788478749799,0.5714285714285714,0.16326530612244897,0.23490792118684897
TREND_STACK + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,49,17.5,-0.0010142330548857574,-0.002575505104110067,0.004739324376884685,0.010560821025700662,0.0022722745084046963,0.004252733900364625,0.02942878108864974,-0.03142788478749799,0.5714285714285714,0.16326530612244897,0.23490792118684897
MACD_HIST_GT_0,145,51.78571428571429,-0.0015016425790835236,0.0004598635875623882,0.007939957673590866,0.00516425324523162,0.009542384185148894,0.0036531220142752563,0.03505964340524171,-0.03154179195049188,0.5448275862068965,0.16551724137931034,0.22102958642989762
TREND_STACK + REL_VOLUME_GE_1,35,12.5,-0.002122746974631345,0.002382533071278825,0.0006388239276840022,0.005043227665706196,0.0004705028608899411,-0.0027573313864812654,0.029904951899073884,-0.02664193240929777,0.5428571428571428,0.11428571428571428,0.22016879374228085
MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,141,50.357142857142854,-0.0015153261522143796,0.0005406895652255905,0.0077579911828415905,0.00516425324523162,0.009500953264248137,0.0036531220142752563,0.035400974479974076,-0.03193619980060981,0.5390070921985816,0.1702127659574468,0.2187013888265716
REL_VOLUME_GE_1_2,50,17.857142857142858,0.003019776349923118,0.005039940057523131,0.008098065244417741,0.0027734972423621995,0.012705548705138672,0.011733392931519537,0.041140252198093245,-0.028065940021429873,0.52,0.16,0.20966409834541733
ATR_PCT_LE_3,166,59.285714285714285,0.00033048587480326617,0.0020725899549633273,0.003731242134400403,0.00149274102727881,0.003757289294308991,-0.0027573313864812654,0.02972016647296276,-0.026832035107957314,0.5180722891566265,0.10240963855421686,0.2081245602790179
REL_VOLUME_GE_1,105,37.5,-0.0005889791481245032,0.0007283014625564424,0.004138163007715993,0.002983846074699148,0.008349328331254,0.0030894142879027697,0.03627914713755951,-0.032191706833461925,0.5142857142857142,0.14285714285714285,0.2075045933591052
TREND_STACK + RSI_GT_50 + REL_VOLUME_GE_1,33,11.785714285714285,-0.003265976902219818,0.0003885240230635893,-0.002379310797433025,0.0011991246390135046,-0.001457315765616387,-0.005585843490470976,0.028015697106314647,-0.028139576644483785,0.5151515151515151,0.09090909090909091,0.20678008084401417
RSI_GT_50 + REL_VOLUME_GE_1,73,26.071428571428573,0.00010879589136594016,0.00188947158153346,0.004971294680810372,0.0011991246390135046,0.005455840475636375,-0.00522260725704532,0.035432463724077386,-0.02957034572841241,0.5068493150684932,0.1232876712328767,0.2034592008108054
RSI_GT_50 + MACD_HIST_GT_0,69,24.642857142857146,-0.002279246150714699,0.0026536522717440845,0.008071151343827184,0.0003703734187112673,0.006338118134035758,-0.004131171392622146,0.0373646090846736,-0.03206493631233784,0.5072463768115942,0.17391304347826086,0.20312077477586446
ATR_PCT_LE_4,223,79.64285714285714,-0.0010246636903120541,0.00072916898830794,0.003187205516746553,0.0004228386568496667,0.005703998909550971,-0.0005629411509980864,0.03259035115462956,-0.030944995471232983,0.5067264573991032,0.12556053811659193,0.20294428615375107
RAW_CROSSOVER,280,100.0,-0.0005830471085182135,-0.000803250142065778,0.0018583285561428794,-0.0004888594116110312,0.0030543680146471425,-0.002581832210582613,0.032730153888173276,-0.03291930627506469,0.4928571428571429,0.13214285714285715,0.19684954149589057
TREND_STACK,110,39.285714285714285,-0.0003515135229897417,-0.001352472005170604,0.00034159126106653875,-0.002033218168840112,-0.005540493083851701,-0.002932830562379918,0.02840364373946631,-0.031641444837283615,0.4909090909090909,0.11818181818181818,0.1951437054623323
PRICE_ACCEL_GT_0,268,95.71428571428572,-0.0007071985759499794,-0.00114108848832304,0.0015608501532354874,-0.0015595914846185388,0.004019189271797521,-0.0019253751161864008,0.03235466675473347,-0.03292343153282387,0.48134328358208955,0.13059701492537312,0.1916015585420647
TREND_STACK + PRICE_ACCEL_GT_0,108,38.57142857142858,-0.0006639382779608803,-0.0023020266275335078,-0.0010323491697305242,-0.0023404321709462605,-0.00333550229752528,-0.002581832210582613,0.027000788102919792,-0.03195383034551414,0.48148148148148145,0.1111111111111111,0.19118833329002483
RSI_GT_50,166,59.285714285714285,-0.0008324104517675861,-0.0009407910580363833,-0.00044599402458677013,-0.003558259539349462,-0.004237028694038686,-0.009112508988707857,0.03152732803430725,-0.03336263458610653,0.4578313253012048,0.12048192771084337,0.18099757439687225
TREND_STACK + RSI_GT_50 + MACD_HIST_GT_0,20,7.142857142857142,-0.0035873320831585898,-0.0029004205421048813,-0.009762604077324839,-0.004808083097586235,-0.005112757657870804,0.00980595209124846,0.02483931875246199,-0.03487612138468939,0.45,0.1,0.17711515014144827
TREND_STACK + RSI_GT_50 + MACD_HIST_GT_0 + PRICE_ACCEL_GT_0,20,7.142857142857142,-0.0035873320831585898,-0.0029004205421048813,-0.009762604077324839,-0.004808083097586235,-0.005112757657870804,0.00980595209124846,0.02483931875246199,-0.03487612138468939,0.45,0.1,0.17711515014144827
RSI_GT_55,93,33.214285714285715,-0.0010882926681736284,-0.0018625716187828313,-0.0033341697835633393,-0.004258879002205562,-0.009531450104027174,-0.008238856418562035,0.02739756991130078,-0.032150730073336825,0.44086021505376344,0.0967741935483871,0.17378875862018206
