symbol,signals,forward_5d_mean,forward_5d_median,forward_10d_mean,forward_10d_median,mfe_5d_mean,mae_5d_mean,positive_rate,strong_positive_rate
JNJ,7,0.0261745626738576,0.033049520663992915,0.02931387600517608,0.010711343037627108,0.04260700087730591,-0.008641301318111107,0.8571428571428571,0.14285714285714285
AAPL,5,0.025063779111594166,0.02458790668397648,0.04351293587699338,0.03593768440930001,0.03777711817389253,-0.025776499985684077,0.8,0.2
RTX,11,0.012659402400722507,0.01733816881116801,0.019922270263037722,0.006209945849272147,0.030332891034790158,-0.020327365423636435,0.6363636363636364,0.09090909090909091
CVX,7,0.016797643527396194,0.011816606270679042,0.009210188682928762,0.004252733900364625,0.03234208385979298,-0.016800399219561335,0.8571428571428571,0.0
XOM,11,0.0036364311397168196,0.011608045456129812,0.0131750746720027,-0.0019253751161864008,0.029077188604434614,-0.029800662088514004,0.5454545454545454,0.0
IWM,10,0.015279606062096019,0.01063697989336998,0.01854376619306163,0.020871747486175596,0.026465713374887102,-0.015008559013123457,0.8,0.1
GOOGL,11,-0.00599397154532676,0.009459497167731534,-0.009065813579034576,-0.012983275239039416,0.032528277640488955,-0.03658662951091354,0.5454545454545454,0.09090909090909091
AMZN,11,0.010297804169569198,0.007276990936331051,-0.0018208294931155924,-0.005595489174880619,0.03589942159057651,-0.033979832011061535,0.5454545454545454,0.18181818181818182
MSFT,11,0.025480305623828456,0.005043227665706196,0.03488963722336433,0.028022561295355963,0.06308325863533283,-0.024355536570850444,0.5454545454545454,0.2727272727272727
CAT,8,0.015736450064856244,0.004788026806471168,0.04110035460052037,0.03497926627788672,0.045013552706592436,-0.0411495480296436,0.625,0.25
LMT,7,-0.0006304563715371993,0.00326358226147061,-0.014608031780336206,-0.04004598044896346,0.026113610670974,-0.03436722752642861,0.5714285714285714,0.14285714285714285
SPY,9,0.0038003446154860373,0.0004228386568496667,0.0062819189970908275,-0.010469816446888824,0.015014415586910794,-0.013518269051216657,0.5555555555555556,0.1111111111111111
NVDA,12,-0.0025253085737085754,5.166098117059814e-05,0.008493954198775347,-0.0012240199973209132,0.039544346054754854,-0.04230294577476878,0.5,0.16666666666666666
BAC,8,0.00584324555123629,-0.000272782845003372,0.010246171783503108,0.02451709853351558,0.029910917295346423,-0.02939019524078569,0.5,0.125
COST,18,0.002961492124718073,-0.0005534310286085531,0.0030833691330697244,-0.002581832210582613,0.024815994933558558,-0.020771792015978063,0.5,0.1111111111111111
DE,10,-0.0007822646839523939,-0.0030871594230456045,0.0078122052480376954,0.006801878187568833,0.029911619441021452,-0.029212114670396215,0.4,0.1
WMT,13,0.0005365476086068342,-0.004258879002205562,-0.0026754426410641016,0.0003532632694513982,0.02647931946654114,-0.03163960885003924,0.46153846153846156,0.15384615384615385
GE,9,-0.01375961830876709,-0.004407248157248134,-0.01172005325323816,-0.032887321012321,0.025062764494110996,-0.04604596142035197,0.3333333333333333,0.1111111111111111
GS,13,-0.011933178427342232,-0.005147388108848516,-0.005896264896994602,-0.007739806079805733,0.02756353072352047,-0.044179476660455075,0.46153846153846156,0.0
QQQ,10,-0.004103922215102795,-0.005216421504703694,-0.004895899633363876,-0.01696657519876138,0.014343712120025187,-0.023912027065996357,0.4,0.0
SLV,9,-0.0016891970805029564,-0.006719139950086439,-0.008074199647139476,-0.030755487493619116,0.051998461868190154,-0.06394346102680609,0.4444444444444444,0.4444444444444444
GLD,11,-0.0072505202134639105,-0.011912412780021975,-0.008996670660540157,0.006497852038943819,0.020865424735577006,-0.029485260582072733,0.36363636363636365,0.09090909090909091
JPM,11,-0.008051788048437102,-0.01781729885811789,-0.013614659394362672,-0.007512383951710722,0.019498684441382252,-0.029751000106400517,0.18181818181818182,0.09090909090909091
META,11,-0.0008199256203461826,-0.019166078666250863,-0.00854539378403515,-0.024623729060438804,0.043378733195067,-0.0440038523913259,0.45454545454545453,0.18181818181818182
TSLA,13,-0.010606908452782405,-0.022289657165564858,-0.018732476923222056,-0.02659770510331949,0.037578131773371284,-0.04192077589505058,0.3076923076923077,0.15384615384615385
AVGO,12,0.0046873059946614115,-0.030652588199802322,-0.003559786740821108,-0.03159841383180667,0.05345691372404406,-0.05390878584790098,0.3333333333333333,0.25
LLY,12,-0.01632121683138287,-0.034457639685819164,-0.006325136795546721,-0.021239033205566415,0.02981276439303145,-0.04353365199439718,0.3333333333333333,0.08333333333333333
